,affiliation,country
984,South China Agricultural University,[China]
985,South China Normal University,[China]
986,South China University of Technology,[China]
987,"South China University of Technology, South China University of Technology",[China]
988,Southeast Community College Area,[United States]
989,Southeast University,[China]
990,Southeast University - Monash University Joint Graduate School,[China]
991,Southeast University and Hong Kong University of Science and Technology,"[China, Hong Kong]"
992,Southern University of Science and Technology,[China]
993,Squirrel Ai Learning,[China]
994,Stanford University,[United States]
995,Stanford University and Hospital Israelita Albert Einstein,"[United States, Brazil]"
996,Stanford University and Kumo.AI,[United States]
997,Stanford University and University of Toronto,"[United States, Canada]"
998,Stanford University and University of Zurich,"[United States, Switzerland]"
999,State Grid Fujian Electric Power Co.,[China]
1000,State Key Laboratory of Cognitive Intelligence,[China]
1001,State University of New York at Stony Brook,[United States]
1002,"State University of New York, Stony Brook",[United States]
1003,"State key laboratory of CAD&CG, Zhejiang University",[China]
1004,StepFun Technology Inc.,[Taiwan]
1005,Stevens Institute of Technology,[United States]
1006,Stockholm University,[Sweden]
1007,Stony Brook University,[United States]
1008,Sudan University for Science and Technology,[Sudan]
1009,Sun Yat-Sen University,[China]
1010,Sung Kyun Kwan University,[South Korea]
1011,SungKyunKwan University,[South Korea]
1012,Sungkyunkwan University,[South Korea]
1013,Suzhou University,[China]
1014,Swiss Federal Institute of Technology,[Switzerland]
1015,Swiss Federal Institute of Technology Lausanne,[Switzerland]
1016,TAL,[China]
1017,"TBSI, Tsinghua University",[China]
1018,TIB Hannover,[Germany]
1019,TIB/L3S,[Germany]
1020,TSY Capital,[United States]
1021,TU Darmstadt,[Germany]
1022,Tampere University,[Finland]
1023,"Tata Consultancy Services Limited, India",[India]
1024,Technical University of Denmark,[Denmark]
1025,"Technical University of Denmark, Apple and IT University","[Denmark, United States]"
1026,Technical University of Munich,[Germany]
1027,Technical University of Wroclaw,[Poland]
1028,Technion - Israel Institute of Technology,[Israel]
1029,"Technion - Israel Institute of Technology, Technion",[Israel]
1030,"Technion, Israel Institute of Technology",[Israel]
1031,"Technion, Technion",[Israel]
1032,Technische Universität Darmstadt,[Germany]
1033,Technische Universität Dresden,[Germany]
1034,Technische Universität Dresden and University of St Andrews,"[Germany, United Kingdom]"
1035,Technische Universität Graz,[Austria]
1036,Technische Universität München,[Germany]
1037,Technische Universität Wien,[Austria]
1038,Technology Innovation Institute,[United Arab Emirates]
1039,Tel Aviv University,[Israel]
1040,Tel Aviv University and Apple,"[Israel, United States]"
1041,Tel Aviv University and Google,"[Israel, United States]"
1042,Tel Aviv University and Google Research,"[Israel, United States]"
1043,"Tel Aviv University, Tel Aviv University and Tel Aviv University",[Israel]
1044,"TeleAI, China Telecom",[China]
1045,Telecom SudParis,[France]
1046,Tencent,[China]
1047,Tencent AI Lab,[China]
1048,"Tencent AI Lab and The Chinese University of Hong Kong, Shenzhen",[China]
1049,Tencent America LLC,[United States]
1050,Tencent Hunyuan,[China]
1051,Tencent Hunyuan / AI Lab,[China]
1052,Tencent INC,[China]
1053,Tencent TEG and Beijing Institute of Technology,[China]
1054,Tencent YouTu Lab,[China]
1055,Texas A&M University,[United States]
1056,Texas A&M University - College Station,[United States]
1057,Texas A&M University - College Station and Google,[United States]
1058,The Chinese University of Hong Kong,[China]
1059,The Chinese University of Hong Kong (ShenZhen),[China]
1060,The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore,"[China, Singapore]"
1061,The Chinese University of Hong Kong and The Chinese University of Hong Kong,[China]
1062,The Chinese University of Hong Kong and Tsinghua University,[China]
1063,"The Chinese University of Hong Kong, Shenzhen",[China]
1064,The Chinese University of Hong Kong-Shenzhen,[China]
1065,"The Department of Mathematics, Tsinghua University",[China]
1066,The Fin AI,[Finland]
1067,The Hong Kong Polytechnic University,[China]
1068,The Hong Kong Polytechnic University and Hong Kong Polytechnic University,[China]
1069,"The Hong Kong Polytechnic University, The Hong Kong Polytechnic University",[China]
1070,The Hong Kong University of Science and Technology,[Hong Kong]
1071,The Hong Kong University of Science and Technology (Guangzhou),[China]
1072,The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology,"[China, Hong Kong]"
1073,The Hong Kong University of Science and Technology (Guangzhou) and The Hong Kong University of Science and Technology,"[China, Hong Kong]"
1074,The Hong Kong University of Science and Technology and City University of Hong Kong,[Hong Kong]
1075,The Hong Kong University of Science and Technology and International Computer Science Institute,"[Hong Kong, United States]"
1076,The Ohio State University,[United States]
1077,"The Ohio State University, Columbus",[United States]
1078,The Pennsylvania State University,[United States]
1079,The University of Auckland,[New Zealand]
1080,The University of Electro-Communications,[Japan]
1081,The University of Hong Kong,[Hong Kong]
1082,The University of Melbourne,[Australia]
1083,The University of Nottingham Ningbo China,[China]
1084,The University of Queensland,[Australia]
1085,The University of Sheffield and University of Sheffield,[United Kingdom]
1086,The University of Tokyo,[Japan]
1087,The University of Tokyo and University of Alberta,"[Japan, Canada]"
1088,"The University of Tokyo, The University of Tokyo and Tokyo University of Science",[Japan]
1089,The University of Waikato,[New Zealand]
1090,Tiangong University,[China]
1091,"Tianjin Unibersity, China",[China]
1092,Tianjin University,[China]
1093,Tianjin University and Pingan Technology,[China]
1094,Tiktok,[China]
1095,Tohoku University,[Japan]
1096,Tohoku University and RIKEN,[Japan]
1097,Tokyo Institute of Technology/Institute of Science Tokyo and RIKEN,[Japan]
1098,Tokyo Metropolitan University,[Japan]
1099,Tokyo Metropolitan University and KDDI Corporation,[Japan]
1100,Tokyo University,[Japan]
1101,Tokyo University of Science and Keio University,[Japan]
1102,Tomorrow Advancing Life,[China]
1103,Tongji University,[China]
1104,Tongji University and Shanghai Artificial Intelligence Laboratory,[China]
1105,Tongyi Lab,[China]
1106,Toyota Research Institute,"[United States, Japan]"
1107,Toyota Technological Institute at Chicago,[United States]
1108,Toyota Technological Institute at Chicago and University of Chicago,[United States]
1109,Tsinghua University,[China]
1110,"Tsinghua University, Tsinghua University",[China]
1111,"Tsinghua University, Tsinghua University and Tencent AI Lab",[China]
1112,"Tsinghua University, Tsinghua University and Tsinghua University, Tsinghua University",[China]
1113,Turan University,[Kazakhstan]
1114,Turing Inc.,[United States]
1115,"Turing Inc. and Nara Institute of Science and Technology, Japan","[United States, Japan]"
1116,Twitter,[United States]
1117,Tyumen State University,[Russia]
1118,U Hamburg,[Germany]
1119,UC Santa Barbara,[United States]
1120,UCL,[United Kingdom]
1121,UCLA,[United States]
1122,"UCLA Computer Science Department, University of California, Los Angeles",[United States]
1123,UIUC,[United States]
1124,UNSW Sydney,[Australia]
1125,US Naval Academy,[United States]
1126,USC/ISI,[United States]
1127,UW-Madison,[United States]
1128,"Ubiquitous Knowledge Processing Lab, Technical University of Darmstadt",[Germany]
1129,Universidad Autónoma de Madrid,[Spain]
1130,Universidad Carlos III de Madrid,[Spain]
1131,Universidad Nacional de Córdoba,[Argentina]
1132,Universidad Nacional de Educación a Distancia,[Spain]
1133,Universidad Nacional de Educación a Distancia and Universidad Nacional de Educación a Distancia,[Spain]
1134,Universidad Politécnica Salesiana,[Ecuador]
1135,Universidad Politécnica de Madrid,[Spain]
1136,Universidad Politécnica de Madrid and Universidad Nacional de Educación a Distancia,[Spain]
1137,Universidad de Alicante,[Spain]
1138,Universidad de Jaén,[Spain]
1139,Universidad de La Coruña,[Spain]
1140,Universidad de Málaga,[Spain]
1141,Universidad de Santiago de Compostela,[Spain]
1142,Universidad del País Vasco,[Spain]
1143,Universidade Federal Fluminense,[Brazil]
1144,Universidade Federal de Minas Gerais,[Brazil]
1145,"Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais",[Brazil]
1146,Universidade Federal de São João del-Rei,[Brazil]
1147,Universidade Federal do Rio Grande do Sul,[Brazil]
1148,Universidade da Coruña,[Spain]
1149,Universidade do Porto,[Portugal]
1150,Universita della Svizzera Italiana,[Switzerland]
1151,"Universita della Svizzera Italiana, Universidad Politécnica de Valencia and University of Bucharest","[Switzerland, Spain, Romania]"
1152,Universitas Brawijaya,[Indonesia]
1153,Universitas Indonesia,[Indonesia]
1154,Universitat Pompeu Fabra,[Spain]
1155,Universitat d’Alacant,[Spain]
1156,University College Dublin,[Ireland]
1157,University College London,[United Kingdom]
1158,"University College London, University of London",[United Kingdom]
1159,University Hospital Aachen,[Germany]
1160,University Mohammed VI Polytechnic,[Morocco]
1161,University of Aberdeen,[United Kingdom]
1162,University of Adelaide and Royal Melbourne Institute of Technology,[Australia]
1163,University of Alabama at Birmingham,[United States]
1164,University of Amsterdam,[Netherlands]
1165,"University of Amsterdam, King Abdullah University of Science and Technology and National Taiwan University","[Netherlands, Saudi Arabia, Taiwan]"
1166,University of Arizona,[United States]
1167,University of Auckland,[New Zealand]
1168,University of Augsburg,[Germany]
1169,University of Basel,[Switzerland]
1170,University of Bath,[United Kingdom]
1171,University of Birmingham,[United Kingdom]
1172,University of Bisha,[Saudi Arabia]
1173,University of Bologna,[Italy]
1174,University of Bristol,[United Kingdom]
1175,University of British Columbia,[Canada]
1176,University of Bucharest,[Romania]
1177,University of Calabria,[Italy]
1178,University of California,[United States]
1179,University of California Berkeley,[United States]
1180,"University of California, Berkeley",[United States]
1181,"University of California, Davis",[United States]
1182,"University of California, Davis and University of Southern California",[United States]
1183,"University of California, Irvine",[United States]
1184,"University of California, Los Angeles",[United States]
1185,"University of California, Los Angeles and Amazon",[United States]
1186,"University of California, Merced",[United States]
1187,"University of California, Riverside and Sichuan University","[United States, China]"
1188,"University of California, San Diego",[United States]
1189,"University of California, San Diego, Snowflake, Petuum, Inc and Carnegie Mellon University",[United States]
1190,"University of California, San Diego, University of California, San Diego",[United States]
1191,University of Cambridge,[United Kingdom]
1192,University of Cambridge and Duke University,"[United Kingdom, United States]"
1193,University of Cape Coast,[Ghana]
1194,University of Central Florida,[United States]
1195,University of Central Florida and Universitas Gadjah Mada,"[United States, Indonesia]"
1196,University of Central Florida and Universitas Islam Indonesia,"[United States, Indonesia]"
1197,University of Chicago,[United States]
1198,University of Chinese Academy of Sciences,[China]
1199,University of Chinese Academy of Sciences and Chinese Academy of Sciences,[China]
1200,University of Colorado at Boulder,[United States]
1201,University of Connecticut,[United States]
1202,University of Copenhagen,[Denmark]
1203,University of Delaware,[United States]
1204,University of Dundee,[United Kingdom]
1205,University of Edinburgh,[United Kingdom]
1206,University of Edinburgh and University of Amsterdam,"[United Kingdom, Netherlands]"
1207,"University of Edinburgh, University of Edinburgh",[United Kingdom]
1208,University of Electro-Communications,[Japan]
1209,University of Electronic Science and Technology of China,[China]
1210,"University of Electronic Science and Technology of China,",[China]
1211,University of Essex,[United Kingdom]
1212,University of Exeter and University of Sheffield,[United Kingdom]
1213,University of Florida,[United States]
1214,University of Georgia,[United States]
1215,University of Glasgow,[United Kingdom]
1216,University of Groningen,[Netherlands]
1217,"University of Göttingen, Germany",[Germany]
1218,University of Haifa,[Israel]
1219,University of Hawaii at Manoa,[United States]
1220,University of Helsinki,[Finland]
1221,University of Hong Kong,[Hong Kong]
1222,University of Hong Kong and Hong Kong Baptist University,[China]
1223,University of Houston,[United States]
1224,University of Ibadan,[Nigeria]
1225,University of Illinois Chicago,[United States]
1226,University of Illinois Urbana Champaign,[United States]
1227,University of Illinois Urbana-Champaign,[United States]
1228,University of Illinois Urbana-Champaign Champaign,[United States]
1229,University of Illinois at Chicago,[United States]
1230,University of Illinois at Urbana-Champaign,[United States]
1231,"University of Illinois, Chicago",[United States]
1232,"University of Illinois, Urbana Champaign",[United States]
1233,"University of Illinois, Urbana Champaign, College of Computing and Georgia Institute of Technology",[United States]
1234,"University of Illinois, Urbana-Champaign",[United States]
1235,University of International Business and Economics,[China]
1236,University of Khartoum,[Sudan]
1237,University of Liverpool,[United Kingdom]
1238,University of Liverpool and Eindhoven University of Technology,"[United Kingdom, Netherlands]"
1239,University of Luxembourg,[Luxembourg]
1240,University of Macau,[China]
1241,University of Manchester,[United Kingdom]
1242,"University of Manchester, University of Manchester",[United Kingdom]
1243,University of Maryland,[United States]
1244,"University of Maryland, Baltimore County",[United States]
1245,"University of Maryland, College Park",[United States]
1246,"University of Maryland, College Park and Ludwig-Maximilians-Universität München","[United States, Germany]"
1247,University of Massachusetts at Amherst,[United States]
1248,University of Massachusetts at Lowell,[United States]
1249,"University of Massachusetts, Amherst",[United States]
1250,University of Melbourne,[Australia]
1251,University of Melbourne and Carnegie Mellon University,"[Australia, United States]"
1252,University of Memphis,[United States]
1253,University of Michigan - Ann Arbor,[United States]
1254,University of Michigan - Ann Arbor and LG AI Research,"[United States, South Korea]"
1255,University of Michigan - Ann Arbor and Michigan State University,[United States]
1256,University of Michigan - Ann Arbor and University of Guyana,"[United States, Guyana]"
1257,University of Minnesota,[United States]
1258,University of Minnesota - Twin Cities,[United States]
1259,"University of Minnesota, Minneapolis",[United States]
1260,University of Mississippi Medical Center,[United States]
1261,University of Montreal,[Canada]
1262,University of Nantes,[France]
1263,University of North Carolina at Chapel Hill,[United States]
1264,University of Notre Dame,[United States]
1265,University of Opole and University of Manchester,"[Poland, United Kingdom]"
1266,University of Oregon,[United States]
1267,University of Oregon and Vanderbilt University,[United States]
1268,University of Oslo,[Norway]
1269,University of Oxford,[United Kingdom]
1270,University of Oxford and Massachusetts Institute of Technology,"[United Kingdom, United States]"
1271,University of Oxford and University of Sydney,"[United Kingdom, Australia]"
1272,University of Padua,[Italy]
1273,University of Palermo and Norwegian Institute of Technology,"[Italy, Norway]"
1274,University of Pennsylvania,[United States]
1275,University of Pennsylvania and University of Pennsylvania,[United States]
1276,"University of Pennsylvania, University of Pennsylvania",[United States]
1277,University of Pisa,[Italy]
1278,University of Pittsburgh,[United States]
1279,University of Potsdam,[Germany]
1280,University of Pretoria,[South Africa]
1281,University of Queensland,[Australia]
1282,University of Richmond,[United States]
1283,University of Rochester,[United States]
1284,University of Roma “La Sapienza”,[Italy]
1285,University of Roma “Tor Vergata”,[Italy]
1286,University of Rome Tor Vergata,[Italy]
1287,University of Rome Tor Vergata and Almawave SpA,[Italy]
1288,University of Saskatchewan,[Canada]
1289,University of Science and Technology of China,[China]
1290,University of Science and Technology of China and China Academic of Electronics and Information Technology,[China]
1291,University of Science and Technology of China and Shanghai Artificial Intelligence Laboratory,[China]
1292,University of Science and Technology of China and University of Science and Technology of China,[China]
1293,"University of Science and Technology of China, Tsinghua University",[China]
1294,University of Sheffield,[United Kingdom]
1295,"University of Sheffield, University of Sheffield",[United Kingdom]
1296,University of South Florida,[United States]
1297,University of Southern California,[United States]
1298,University of Southern California and USC/ISI,[United States]
1299,University of St Andrews,[United Kingdom]
1300,University of Stuttgart,[Germany]
1301,"University of Stuttgart, Universität Stuttgart",[Germany]
1302,University of Sydney,[Australia]
1303,"University of Sydney, University of Sydney",[Australia]
1304,University of Texas at Arlington,[United States]
1305,"University of Texas at Arlington, University of Texas at Arlington",[United States]
1306,University of Texas at Austin,[United States]
1307,University of Texas at Austin and Apple,[United States]
1308,University of Texas at Austin and Facebook,[United States]
1309,"University of Texas at Austin and University of Illinois, Urbana Champaign",[United States]
1310,University of Texas at Dallas,[United States]
1311,University of Texas at San Antonio,[United States]
1312,"University of Texas, Austin",[United States]
1313,University of Tokyo,[Japan]
1314,University of Toronto,[Canada]
1315,University of Toronto and Google,"[Canada, United States]"
1316,University of Tuebingen,[Germany]
1317,University of Turku,[Finland]
1318,University of Turku and University of Turku,[Finland]
1319,"University of Virginia, Charlottesville",[United States]
1320,University of Waikato,[New Zealand]
1321,University of Warwick,[United Kingdom]
1322,University of Washington,[United States]
1323,University of Washington and Allen Institute for Artificial Intelligence,[United States]
1324,"University of Washington and School of Computer Science, Carnegie Mellon University",[United States]
1325,"University of Washington, Facebook and Meta",[United States]
1326,University of Waterloo,[Canada]
1327,University of Waterloo and Mohamed bin Zayed University of Artificial Intelligence,"[Canada, United Arab Emirates]"
1328,University of Waterloo and Vector Institute,[Canada]
1329,"University of Waterloo, University of Waterloo",[Canada]
1330,University of West Bohemia,[Czech Republic]
1331,University of Wisconsin - Madison,[United States]
1332,University of Wisconsin - Madison and NVIDIA,[United States]
1333,"University of Wisconsin, Madison",[United States]
1334,"University of Wisconsin, Madison, Stanford University, Facebook AI, Google AI and Cornell University",[United States]
1335,University of Zurich,[Switzerland]
1336,University of Zurich and University of Zurich,[Switzerland]
1337,University of the Basque Country,[Spain]
1338,University of the Basque Country (UPV/EHU),[Spain]
1339,University of the Chinese Academy of Sciences,[China]
1340,"University of the Chinese Academy of Sciences and Institute of Computing Technology, Chinese Academy of Sciences",[China]
1341,University of the People,United States
1342,University of the Philippines,[Philippines]
1343,University of the Philippines Diliman,[Philippines]
1344,University of the Witwatersrand,[South Africa]
1345,Università degli Studi di Roma Tor Vergata,[Italy]
1346,Università della Svizzera Italiana and Università dell’Insubria,"[Switzerland, Italy]"
1347,Universität Bielefeld,[Germany]
1348,Universität Hamburg,[Germany]
1349,Universität Konstanz,[Germany]
1350,Universität Köln,[Germany]
1351,Universität Mannheim,[Germany]
1352,Universität Mannheim and Max Planck Institute for Informatics,[Germany]
1353,Universität Passau,[Germany]
1354,Universität Passau and Max-Planck Institute,[Germany]
1355,Universität Vienna,[Austria]
1356,Universität des Saarlandes,[Germany]
1357,Universität des Saarlandes and University of Groningen,"[Germany, Netherlands]"
1358,Université Paris 13,[France]
1359,Université Paris Cité,[France]
1360,Université Paris Nord (Paris XIII),[France]
1361,"Université Paris-Saclay, CNRS",[France]
1362,Université Paul Sabatier / Université de Toulouse III,[France]
1363,Université catholique de Louvain,[Belgium]
1364,Université de Lausanne and Idiap Research Institute,[Switzerland]
1365,Université de Montréal and Mila - Quebec Artificial Intelligence Institute,[Canada]
1366,Université de Nantes,[France]
1367,Université de Nouakchott,[Mauritania]
1368,Université de Paris,[France]
1369,Université d’Aix-Marseille,[France]
1370,Univesity of Santiago de Compostela,[Spain]
1371,Uppsala University,[Sweden]
1372,Utrecht University,[Netherlands]
1373,VISA,[United States]
1374,VNG,[Netherlands]
1375,VNG Corporation,[Vietnam]
1376,Vanderbilt University,[United States]
1377,Vercept,[India]
1378,Vidyasirimedhi Institute of Science and Technology,[Thailand]
1379,Virginia Polytechnic Institute and State University,[United States]
1380,"Virginia Polytechnic Institute and State University and Department of Computer Science, University of North Carolina at Chapel Hill",[United States]
1381,Virginia Tech,[United States]
1382,Virginia Tech and Amazon,[United States]
1383,Virtue AI and Stanford University,"[United Kingdom, United States]"
1384,Visa Research,[United States]
1385,Votee AI,[India]
1386,"Wan, Alibaba Group and Tsinghua Shenzhen International Graduate School, Tsinghua University",[China]
1387,Warsaw University of Technology,[Poland]
1388,Waseda University,[Japan]
1389,Washington University in Saint Louis,[United States]
1390,"Washington University, Saint Louis",[United States]
1391,Way With Words,"[United Kingdom, South Africa]"
1392,Wayve,[United Kingdom]
1393,WeChat AI,[China]
1394,"WeChat AI, Tencent",[China]
1395,"WeChat AI, Tencent Inc.",[China]
1396,"WeChat, Tencent",[China]
1397,"WeChat, Tencent Inc.",[China]
1398,Weizmann Institute of Science,[Israel]
1399,Welocalize,[United States]
1400,Westfälische Wilhelms-Universität Münster,[Germany]
1401,Westlake University,[China]
1402,Westlake University and Zhejiang University,[China]
1403,William & Mary,[United States]
1404,Worcester Polytechnic Institute,[United States]
1405,World Bank,[United States]
1406,Writesonic,[India]
1407,Wuhan University,[China]
1408,Wuhan University of Technology,[China]
1409,Xiamen University,[China]
1410,Xiamen University Malaysia,[Malaysia]
1411,Xiamen University of Technology,[China]
1412,"Xiamen University, Tsinghua University",[China]
1413,Xiaohongshu,China
1414,Xiaohongshu Inc,[China]
1415,Xiaomi,China
1416,Xiaomi Corporation,[China]
1417,Xidian University,[China]
1418,Ximalaya Inc.,[China]
1419,Xi’an Jiaotong University,[China]
1420,Xi’an Jiaotong-Liverpool University,[China]
1421,Xi’an Jiaotong-Liverpool University and University of Liverpool,"[China, United Kingdom]"
1422,Xi’an University of Electronic Science and Technology,[China]
1423,Yale University,[United States]
1424,Yale University and Allen Institute for Artificial Intelligence,[United States]
1425,Yazhouwan Lab,[China]
1426,Yonsei University,[South Korea]
1427,Yonsei University and Yonsei University,[South Korea]
1428,York University,[Canada]
1429,York University and York University,[Canada]
1430,Yuanshi- 元石科技,[China]
1431,Zalo,[Vietnam]
1432,Zhejiang Gongshang University,[China]
1433,Zhejiang Lab,[China]
1434,Zhejiang Normal University,[China]
1435,"Zhejiang Sci-Tech University, Zhejiang Sci-Tech University, Beijing Jiaotong University and Yixiaomo.Inc",[China]
1436,Zhejiang University,[China]
1437,Zhejiang University and Peking University,[China]
1438,Zhejiang University and Zhejiang University,[China]
1439,Zhipu AI,[China]
1440,Zhipu AI and Tsinghua University,[China]
1441,Zhipu Ai,[China]
1442,Zhipu.AI,[China]
1443,Zhongguancun Laboratory,[China]
1444,cleveland clinic foundation,[United States]
1445,haerae.com and OnelineAI,"[South Korea, United States]"
1446,iQIYI,[China]
1447,inftech.ai,[India]
1448,"institute of computer science, University of Tartu",[Estonia]
1449,"istituto di linguistica computazionale “A. Zampolli”, ILC-CNR, Pisa",[Italy]
1450,jd.com,[China]
1451,lut,[Finland]
1452,nanjing university,[China]
1453,"national university of singaore, National University of Singapore",[Singapore]
1454,physical intelligence,[Germany]
1455,prince sultan university,[Saudi Arabia]
1456,shanghai AI lab,[China]
1457,shanghai institute for science of science,[China]
1458,soochow university,[China]
1459,southern university of science and technology,[China]
1460,stc,[Saudi Arabia]
1461,"the University of Hong Kong, University of Hong Kong",[China]
1462,tii,[United Arab Emirates]
1463,unaffiliated,[]
1464,university of texas at dallas,[United States]
1465,westlake university,[China]
1466,xAI,[United States]
1467,xAI and University of Washington,[United States]
1468,"École Polytechnique de Montréal, Université de Montréal, Université de Montréal, Université de Montréal and EPFL - EPF Lausanne","[Canada, Switzerland]"
1469,"École de technologie supérieure, Université du Québec",[Canada]
1470,"École de technologie supérieure, Université du Québec and Université Paris-Saclay","[Canada, France]"
